Merk	Soort	Percentage_Alcohol	Brouwerij	Periode
Lupulus Blonde	hoge gisting	8,5%	Brasserie les 3 Fourquets	2008-heden
Lupulus Brune	tripel	8,5%	Brasserie les 3 Fourquets	2010-2010 en 2012-heden
Lupulus Hibernatus	bruin	9%	Brasserie les 3 Fourquets	?-?
Lupulus Organicus	blond bio	8,5%	Brasserie les 3 Fourquets	?-?
Lupulus Hopera	blond	6%	Brasserie les 3 Fourquets	?-?
Lupulus Special Brew 2012	tripel	10%	Brasserie les 3 Fourquets	2012-2012
Lusja	bruin	7%	Bierfirma NoordSter bij Brouwerij De Vlier	?-?
Lustem	tarwebier	7%	‘t Hofbrouwerijke voor De Verhuisbrouwerij	2008-heden
Machels Kerstbolleke	NaN	?%	Brouwerij Meesters	?-?
Machelse tripel	tripel	?%	Brouwerij Meesters	?-?
Mac kot (bier)	NaN	?%	Brouwerij Villers	?-?
Ma Mère Spéciale	donkerblond	6%	Brouwerij De Leite	2011-heden
Maerlant	tripel	9%	Brouwerij Van Steenberge	1957-heden (e 1996-heden)
Maes	pils	5,2%	Alken-Maes	1946-heden
Maes Cool	ijsbier	5.7%	Alken-Maes (Heineken)	1996-?
Maes Nature	tafelbier	1,5%	Alken-Maes (Heineken)	1999-heden
Maes Zero	alcoholvrij bier	0%	Alken-Maes (Heineken)	2007-heden
Maes Radler	limonadebier	2%	Alken-Maes (Heineken)	?-heden
Mageleno	blond	7,5%	Huisbrouwerij Sint Canarus	NaN
Magonette	?	8,2%	Brasserie de la Tour	?-?
Malheur 6	goudblond	6%	Brouwerij De Landtsheer	?-heden
Malheur 8	blond	8%	Brouwerij De Landtsheer	?-heden
Malheur 10	blond	10%	Brouwerij De Landtsheer	?-heden
Malheur 12	roodbruin	12%	Brouwerij De Landtsheer	?-heden
Malheur Bière Brut	blond	11%	Brouwerij De Landtsheer	?-heden
Malheur Dark Brut	donkerbruin	12%	Brouwerij De Landtsheer	?-heden
Malheur Cuvée Royale	blond	9%	Brouwerij De Landtsheer	2005-heden
Malmedy Triple	tripel	9,0%	Brasserie de Bellevaux	?-heden
Maltosa	bruin, tafelbier	1,2%	Brouwerij Haacht	?-heden
Mamouche	lambiek	5%	Brouwerij Cantillon	?-heden
Maneblusser	blond	6%	Brouwerij Het Anker	2009-heden
Manneken Pils	pils	5,2%	Brouwerij Lefebvre	2004-heden
Mano Negra	imperial stout	10%	Brouwerij Alvinne	NaN
Manten	hoge gisting	6%	Brouwerij Gulden Spoor	2007-heden
Marckloff	hoge gisting	6,5%	Brasserie La Ferme au Chêne	1989-heden
Maredsous blond	blond	6%	brouwerij du Faleau later door brouwerij Caulier	1949-1964
Maredsous bruin	bruin	8%	brouwerij du Faleau later door brouwerij Caulier	1949-1964
Maredsous blond	blond	6%	Brouwerij Duvel Moortgat	1964-heden
Maredsous bruin	bruin	8%	Brouwerij Duvel Moortgat	1964-heden
Maredsous tripel	tripel	10%	Brouwerij Duvel Moortgat	1972-heden
Mariënrode Double	bruin	8%	Brouwerij Anders! voor Halen Breweries	?-?
Mariënrode Quadruple	bruin	12%	Brouwerij Anders! voor Halen Breweries	?-?
Mariënrode Triple	tripel	9,1%	Brouwerij Anders! voor Halen Breweries	?-?
Maris Otter Aperitiefbier	blond	5%	De Proefbrouwerij	2009-heden
Margriet	etiketbier	6,5%	Brouwerij Het Anker	2005-?
Martens Pils	pils	5%	Brouwerij Martens (Bocholt)	NaN
Martin’s Blond	hoge gisting	6%	Group John Martin	?-?
Martin’s IPA	hoge gisting	9,9%	Group John Martin	2012-heden
Martin’s Pale Ale	hoge gisting	5,5%	Group John Martin	1949-heden
Martin’s Real Ale	hoge gisting, ongefiltert	4,5%	Group John Martin	?-heden
Mater Witbier	tarwebier	5%	Brouwerij Roman	1993-heden
Mc Chouffe	donker	8,0%	Brouwerij van Achouffe (Duvel-Moortgat)	1987-heden
Mc Gregor	blond	6,5%	Brouwerij Huyghe	?-?
Mc Thals	blond, hoge gisting	9,5%	Brouwerij DijkWaert	2011-heden
Meesters bier dubbel	dubbel	?%	Brouwerij Meesters	?-?
Meesters bier kerst	kerstbier	?%	Brouwerij Meesters	?-?
Meesters bier tripel	tripel	?%	Brouwerij Meesters	?-?
Meesters bier Haviland	NaN	?%	Brouwerij Meesters	?-?
Mechelsen Bruynen	bruin	?%	Brouwerij Het anker	?-?
Melchior	amber	11%	Brouwerij Alvinne	?-heden
Melchior Oak Aged	oak aged	11%	Brouwerij Alvinne	?-heden
Meli witje	hoge gisting	4,5%	Brouwerij Huyghe	?-?
Melse God	blond	6,5%	Brouwerij Huyghe	?-?
Mercator	NaN	?%	Brouwerij Villers	?-?
Merck toch hoe sterck	gerstewijn	9%	De Scheldebrouwerij	1996-2009
Métisse Saison	saison	5,7%	De Lion à Plume bij Brasserie Sainte-Hélène	NaN
Meuuh!	witbier	5,5%	Brasserie Saint-Monon voor Confrérie du Busson	?-heden
Milo (bier)	NaN	?%	Brouwerij Villers	?-?
Miroir special blanche	witbier	?%	Brasserie Miroir	?-?
Miroir special brune	bruinbier	?%	Brasserie Miroir	?-?
Mistinguett	hoge gisting	6,5%	Brasserie Sainte-Hélène	?-?
Modeste Bruin	bruin, biologisch	7,8%	Brouwerij Strubbe voor BioFresh	?-?
Modeste Tripel	tripel, biologisch	8,4%	Brouwerij Strubbe voor BioFresh	?-?
Moeder Overste	blond	8%	Brouwerij Lefebvre	1985-heden
Moinette Blonde	blond	8%	Brasserie Dupont	1955-heden
Moinette Brune	bruin	8,5%	Brasserie Dupont	1986-heden
Moinette Biologique	blond, biologisch	7,5%	Brasserie Dupont	1990-heden
Mokke Blond	blond	6,5%	Brouwerij Pirlot	NaN
Molse Tripel	tripel	8,3%	Scheldebrouwerij	NaN
Mongozo Banana	fruitbier	4,5%	Brouwerij Huyghe	2001-heden
Mongozo Coconut	fruitbier	3,5%	Brouwerij Huyghe	2005-heden
Mongozo Mango	fruitbier	3,6%	Brouwerij Huyghe	2008-heden
Mongozo Palmnut	fruitbier	7%	Brouwerij Huyghe	1999-heden
Mongozo Premium Pilsener	pils, biologisch	5%	Brouwerij Huyghe	2010-heden
Mongozo Quinua	fruitbier	5,9%	Brouwerij Huyghe	2003-heden
Monk's Stout	stout	5,2%	Brasserie Dupont	?-? en 2010-heden
Mont-Saint-Aubert	tripel	8%	Brasserie de Brunehaut	NaN
Montagnarde	amber	9%	Brasserie de l'Abbaye des Rocs	NaN
Montagnarde Altitude 6	blond	6%	Brasserie de l'Abbaye des Rocs	NaN
Morpheus Dark	hoge gisting	10,2%	Brouwerij Alvinne	?-heden
Morpheus Extra RA	hoge gisting	7,1%	Brouwerij Alvinne	2005-heden
Morpheus Tripel	hoge gisting, tripel	8,7%	Brouwerij Alvinne	2004-heden
Morpheus Wild	Vlaams oud bruin	5,9%	Brouwerij Alvinne	?-?
Mort Subite Cassis	fruitbier	4,5%	Brouwerijen Alken-Maes	?-2005
Mort Subite Faro	faro	4%	Alken-Maes	2004-heden
Mort Subite Framboise	fruitbier	5%	Alken-Maes	?-heden
Mort Subite Gueuze	geuze	4,5%	Alken-Maes	1910-heden
Mort Subite Kriek	fruitbier	4,5%	Alken-Maes	1910-heden
Mort Subite Original Gueuze	geuze	4,5%	Alken-Maes	?-?
Mort Subite Original Kriek	fruitbier	4,5%	Alken-Maes	?-?
Mort Subite Oude Gueuze	oude geuze	7%	Alken-Maes	?-heden
Mort Subite Oude Kriek	oude kriek	6,5%	Alken-Maes	?-heden
Mort Subite Pêche	fruibier	4,5%	Alken-Maes	?-2005
Mort Subite Xtreme Framboise	fruitbier	4,3%	Alken-Maes	2005-heden
Mort Subite Xtreme Kriek	fruitbier	4,3%	Alken-Maes	2002-heden
Mort Subite Xtreme Manzana	fruitbier	4,2%	Alken-Maes	?-2005
Mort Subite Witte Lambic	lambiek	5%	Alken-Maes	?-heden
Motuecha	hoge gisting	5%	De Struise Brouwers	?-?
Moulin de Hollange – Blonde d’Epeautre	hoge gisting, speltbier	6%	Brasserie Millevertus	?-?
Mouten Kop	koperkleurig India Pale Ale	6%	Brouwerij De Graal voor De Hopjutters	2010-heden
Mug	hoge gisting	5%	De Scheldebrouwerij	1988-heden
Myn's Pils	pils	5%	Brasserie de Silly	1956-heden
Mystic Krieken	hoge gisting, fruitbier	3,5%	Brouwerij Haacht	2006-heden
Mystic Limoen	hoge gisting, fruitbier	3,5%	Brouwerij Haacht	?-?
Mystic Perzik	hoge gisting, fruitbier	3,7%	Brouwerij Haacht	2011-heden
Mystic Radler	hoge gisting, fruitbier	2,5%	Brouwerij Haacht	2015-heden
Magnum Opus Brut	Champagnebier	8%	Abdijbrouwerij Grimbergen	2021-heden
'n Maurootje	donkerblond	7%	Brouwerij Alvinne	2006-heden
'n Peerdevisscher	bruin	6,5%	Brouwerij Callewaert, nu Brouwerij Strubbe	1987-heden
'n Slypke	roodbruin, etiketbier	6%	Brouwerij Van Eecke	1955-heden (e ?-2002)
'n Toeback	hoge gisting	9,5%	Scheldebrouwerij	2009-heden
Nachtraaf Speciale-Amber	amber	6%	De Nachtraafbrouwers bij Van Steenberge	2018-heden
Nachtraaf Dubbel-Bruin	dubbel	7,5%	De Nachtraafbrouwers bij Van Steenberge	2017-heden
Nachtraaf Tripel-Blond	tripel	9%	De Nachtraafbrouwers bij Van Steenberge	2017-heden
Nachtraaf Quadrupel-Donker	donker	10%	De Nachtraafbrouwers bij Van Steenberge	2017-heden
Naked Ladies	hoge gisting	4,4%	Brouwerij Alvinne	NaN
Napoleon	donker	7%	Affligem Brouwerij (Brouwerij De Smedt)	?-heden
Neandertaler Gesöff	NaN	?%	Brouwerij Villers	?-?
Ne Flierefluiter	tripel	6,8%	Brouwerij De Smedt in opdracht van bierfirma Fisser	?-heden (e 1985-2001)
Ne Flierefluiter	tripel	8,5%	Brouwerij De Smedt in opdracht van bierfirma Fisser	2001-heden
Ne Janneman	hoge gisting, blond	8,5%	Brouwerij van Achouffe in opdracht van drankenservice Pelgrims	1991-?
Ne Janneman	hoge gisting, blond	8 %	Brasserie La Rochefortoise in opdracht van drankenservice Pelgrims	?-2002
Ne Janneman	hoge gisting, blond	8,5%	brouwerij Dupont in opdracht van drankenservice Pelgrims	1955-heden (e 2002-?)
Ne Janneman	hoge gisting, blond	7%	Brouwerij Kerkom in opdracht van drankenservice Pelgrims	?-heden
Ne Kopstoot	hoge gisting, goudkleur	7%	Brasserie de Brunehaut	?-heden
Nen abt bijbier	amber	7%	Brasserie Domus	?-?
Nen blok-bok	bruin	7%	Brasserie Domus	?-?
Nen engel	amber	8%	Brasserie Domus	?-heden
Ne Snoeper	tripel	10%	't Hofbrouwerijke	?-heden
Nelle van Cruysem	hoge gisting, amber	6%	Huisbrouwerij Sint Canarus	2013-heden
Nello's Blond	blond	7%	De Proefbrouwerij voor Brouwerij De Arend (Hoboken)	2003-heden
Nello's Tripel	tripel	NaN	De Proefbrouwerij voor Brouwerij De Arend	?-heden
Nen Bangelijke	sterk blond	8%	Brouwerij 't Pakhuis	?-heden
Nen Biskop	blond	6,4%	Brouwerij Danny voor Stichting Marcel De Bisschop	2008-heden (e 2008-2008)
Nen Kerstbal	kerstbier	8%	voor bierfirma Vacas	?-heden
Nen Uts	speciale belge	7%	Brouwerij De Graal voor De Hoevebrouwers	?-heden
Netebuk	sterk blond	6,5%	Brouwerij Gulden Spoor	?-heden
Neuzebier Tripel	blonde tripel	6,9%	Brouwerij Anders! voor brouwerij De Neus	1984-heden
Neuzebier Tripel Bruin	donkere tripel	8%	Brouwerij Anders! voor brouwerij De Neus	2014-heden
Ne Vlasbloeme	NaN	?%	Brouwerij Villers	?-?
Newton	fruitbier	3,5%	Brouwerij Lefebvre	1998-heden
N'Ice Chouffe	donker seizoensbier	10%	Brasserie d'Achouffe (Duvel-Moortgat)	1993-heden
Nigeria Pal	NaN	?%	Brouwerij Villers	?-?
Nivoo Bruin	hoge gisting	8%	Brouwerij Anders! voor GIBRIT	NaN
Nivoo Tripel	tripel	7%	Brouwerij Anders! voor GIBRIT	NaN
Noblesse	hoge gisting, blond	5,5%	Brouwerij De Dochter van de Korenaar	2007-heden
Noblesse Extra	hoge gisting, IPA	7%	Brouwerij De Dochter van de Korenaar	?-heden
Noël de Silenrieux	tripel, kerstbier	9%	Brasserie de Silenrieux	1996-heden
Noir de Dottignies	hoge gisting	9%	Brouwerij De Ranke	2009-heden
Nondedju	tripel	10,7%	’t Hofbrouwerijke voor Montaigu	NaN
Nonneke	donker	8%	Brouwerij Anders! voor Nonneke	NaN
NOORderbierke	hoge gisting, amberblond	8,1%	Brouwerij Donum Ignis	?-heden
Norman	blond	7%	Bierfirma NoordSter bij Brouwerij De Vlier	NaN
Nostradamus	hoge gisting, bruin	9%	Brasserie Caracole	2000-heden
Nostra domus	amber	5,8%	Brasserie Domus	1985-heden
Notre Passion	porter	8%	’t Hofbrouwerijke voor Montaigu	?-heden
Nounnette	blond	7,5%	Brasserie de l'Abbaye des Rocs	?-heden
Novice Blue	goudblond	8,5%	Brouwerij De Landtsheer	?-heden
Novice Tripel Black	bruin, tripel	8,5%	Brouwerij De Landtsheer	?-heden
Nuits Blanches	NaN	7,5%	Brasserie de l'Abbaye des Rocs	?-heden
Ochtend kriek	fruitbier	7%	Brasserie Domus	?-?
Odlo Blond	hoge gisting	6,7%	Brouwerij De Graal voor (T)Huisbrouwerij Odlo	2011-heden
Odlo Hivernum	winterbier, Belgian Imperial Stout	8,7%	Brouwerij Lupus voor (T)Huisbrouwerij Odlo	2011-heden
Odlo Triviaal	tripel	8,2%	Brouwerij De Graal voor (T)Huisbrouwerij Odlo	?-heden
Oeral	India Pale Ale	6%	De Dolle Brouwers	1986-?
Oerbier	hoge gisting	7,5%	De Dolle Brouwers	1980-heden
Oerbier special Reserva	hoge gisting	13,0%	De Dolle Brouwers	?-?
Oesterstout	stout	8,5%	De Scheldebrouwerij	1999-heden
Old Musketier	NaN	?%	Brouwerij Het Sas	?-?
Omer.	hoge gisting, blond	8%	Brouwerij Bockor	2008-heden
Ommegang	strogeel, hoge gisting	8%	Brouwerij Haacht	2011-heden
Ondineke	tripel	8,5%	Brouwerij De Glazen Toren	NaN
Onze Henri	tripel	9,5%	Brouwerij Zwaan9	2019-heden
Onze Louis	tripel	7,5%	Brouwerij Zwaan9	2018-heden
Op-Ale	ale	5%	Affligem Brouwerij (Brouwerij De Smedt)	NaN
Opitter	export	NaN	Brouwerij Sint-Jozef	NaN
Ops-Ale	blond	5,5%	Brouwerij Sint-Jozef	?-?
Opstalse tripel deceniumnbierl	NaN	?%	Brouwerij Meesters	?-?
Orval	trappist	6,2%	Abdij Notre-Dame d'Orval	?-heden
Orvélo	tripel	7,5%	De Proefbrouwerij voor bierfirma Half Zeven	NaN
Oudbeitje	aardbeienlambiek	6%	Hanssens Artisanaal	NaN
Oud Bier	tafelbier	2,1%	Brouwerij Strubbe	NaN
Oud Bruin (Anglo-Belge)	rood-bruinbier	4,7%	Brouwerij Anglo-Belge	1891?-1985
Oudenburgs bruin	bruin	?%	Brouwerij Steedje	?-?
Oudenaards tarwebier	tarwebier	?%	Brouwerij Clarysse (bierfirma)	?-?
Oud Tassels	tripel	8,5%	Brouwerij Boelens voor Bier- en Wijnhandel De Neys-Asselman	2009-heden
Oud Kriekenbier	fruitbier	6%	Brouwerij Strubbe voor |-	NaN
Oud Zottegems Bier  hoge gisting	6,5%	Brouwerij Crombé, Brouwerij Strubbe	NaN
Oud Zottegems Bier hergist	hoge gisting	?%	Brouwerij Crombé, Brouwerij Strubbe	?-?
Oude Geuze 3 Fonteinen	geuze	7%	Geuzestekerij 3 Fonteinen	NaN
Oude Geuze Vintage 3 Fonteinen	geuze	6%	Geuzestekerij 3 Fonteinen	NaN
Oude Franboise 3 Fonteinen	lambiek/kriek	6%	Geuzestekerij 3 Fonteinen	NaN
Oudenaards	Hoge gisting	5%	Brouwerij Roman	NaN
Oudstrijder Blond	blond, hoge gisting, biologisch	7,2%	Brouwerij Strubbe	2014-heden
Oudstrijder Dobbel-Tripel	robijnrood, hoge gisting, biologisch	7,8%	Brouwerij Strubbe	2014-heden
Oude Geuze Boon	geuze	6,5%	Brouwerij Boon	?-heden
Oude Geuze De Cam	geuze	6%	Geuzestekerij De Cam	NaN
Oude Geuze Oud Beersel	geuze	6%	Brouwerij Oud Beersel	?-heden
Oude Gueuze Hanssens	geuze	6%	Hanssens Artisanaal	NaN
Oude Gueuze Tilquin à l'ancienne	geuze	6,0%	Gueuzerie Tilquin	NaN
Oude Godje	blond	6,0%	De Proefbrouwerij	NaN
Oude Kriek 3 Fonteinen	lambiek/kriek	6%	Geuzestekerij 3 Fonteinen	NaN
Oude Kriek Boon	lambiek	6,5%	Brouwerij Boon	NaN
Oude Kriek De Cam	lambiek/kriek	6,5%	Geuzestekerij De Cam	NaN
Oude Kriek Hanssens	lambiek/kriek	6%	Hanssens Artisanaal	NaN
Oude Kriek Oud Beersel	lambiek	6,5%	Brouwerij Oud Beersel	NaN
Oude Lambiek De Cam	lambiek	5%	Geuzestekerij De Cam	NaN
Oude Quetsche Tilquin à l'ancienne	lambiek	6,4%	Gueuzerie Tilquin	NaN
Ouwen duiker	blond	7%	Brouwerij T Verzet	NaN
Outblack	Belgian Strong Ale	10%	De Struise Brouwers	?-?
Oxymore	amber, hoge gisting	5%	Brasserie Oxymore	?-?
Paasei (bier)	bruin	7,8%	voor bierfirma Vacas	?-?
Pa-Gijs	bruin	8,5%	Brouwerij Boelens	1995-heden
Paix-Dieu	abdijbier	10%	Brasserie Caulier	?-?
Pajnner	blond	?	Brouwerij Dilewyns voor de Dendermondse Gilde der Vrije Pijnders	2023-heden
Paljas Blond	blond	6%	Brouwerij Anders! voor Brouwerij Henricus	?-?
Paljas Bruin	bruin	6%	Brouwerij Anders! voor Brouwerij Henricus	?-?
Paljas IPA	amber, IPA	6%	Brouwerij Anders! voor Brouwerij Henricus	?-?
Palm	spéciale belge	5,4%	Brouwerij Palm	1929?-heden
Palm Dobbel	kerstbier	6%	Brouwerij Palm	1947-heden
Palm Green	alcoholarm	0,25%	Brouwerij Palm	?-2012
Palm Hopper	hoge gisting	6%	Brouwerij Palm	?-?
Palm Hop Select	hoge gisting	6%	Brouwerij Palm	2011-heden
Palm N.A	alcoholarm	0,25%	Brouwerij Palm	2012-heden
Palm Royale	hoge gisting	7,5%	Brouwerij Palm	2003-heden
Palm Sauvin	hoge gisting	4,9%	Brouwerij Palm	2011-heden
Palm Speciale	spéciale belge	5,2%	Brouwerij Palm	?-?
Pandreitje	donkerblond	7%	Brouwerij De Regenboog	NaN
Pannepot	hoge gisting	10%	De Struise Brouwers bij Brouwerij Deca	2005-?
Pannepot Reserva	hoge gisting, bruin	10%	De Struise Brouwers bij Brouwerij Deca	?-heden
Pannepot Grand Reserva Vintage	hoge gisting, bruin	10%	De Struise Brouwers bij Brouwerij Deca	2007-2007
Pannepot Special Reserva	hoge gisting, bruin	10%	De Struise Brouwers bij Brouwerij Deca	2007-2007
Pannepot Wild	hoge gisting, bruin	10%	De Struise Brouwers bij Brouwerij Deca	?-?
Pannepeut	hoge gisting	10%	De Struise Brouwers bij Brouwerij Deca	?-?
Papegaei	hoge gisting	8%	Brouwerij Verstraete bij Brouwerij Deca	2009-heden
Papy Jo	fruit	3,2%	Brasserie Ruwet	?-2000
Passchendaele	hoge gisting	5,2%	Brouwerij Van Honsebrouck	2016-heden
Passendale	amber	6%	Brouwerij Duvel Moortgat	2000-2005
Pater	streekbier	6%	Brouwerij Anders! in opdracht van vzw Brouwerij De Lelie	2009-heden
Pater	streekbier	6%	Brouwerij De Lelie	?-1952
Paterke	NaN	?%	Brouwerij Villers	?-?
Pater Lieven	abdijbier amber	5,7%	Brouwerij Van Den Bossche	1957-1997
Pater Lieven Blond	abdijbier	6,5%	Brouwerij Van Den Bossche	1997-heden
Pater Lieven Bruin	abdijbier	6,5%	Brouwerij Van Den Bossche	1997-heden
Pater Lieven Tripel	abdijbier	8%	Brouwerij Van Den Bossche	1998-heden
Pater Lieven Wit	abdijbier	8%	Brouwerij Van Den Bossche	2005?-heden
Paternoster Dubbel	bruin dubbel	8%	Microbrouwerij Achilles in De Proefbrouwerij in opdracht van Paters en Prinsen	2009-heden
Paternoster Tripel	tripel	8%	Brouwerij Anders! in opdracht van Paters en Prinsen	2011-heden
Pater Van Damme	NaN	7,5%	Pater Van Damme (Damme)	?
Pater Verbiest Blond	biologisch, blond	6,5%	De Proefbrouwerij	2001-heden
Pater Verbiest Donker	biologisch, donker	9%	De Proefbrouwerij	2001-heden
Patrasche dubbel	donkerbruin	8%	De Proefbrouwerij voor Brouwerij De Arend (Hoboken)	?-?
Patroon	NaN	?%	Brouwerij Villers	?-?
Paulus	oud bruin	6%	Brouwerij Het Sas	?-?
Paus	streekbier	?%	Brouwerij Anders! in opdracht van Brouwerij De Lelie	?-1952
Paus	streekbier	8,5%	Brouwerij Anders! in opdracht van Brouwerij De Lelie	2008-heden
Pauwel Kwak	speciaalbier	8,4%	Brouwerij Bosteels	1980-heden
Pax Pils	pils	4,6%	Brouwerij Sint-Jozef	1937-heden
Peak 0.0	NaN	0%	Brasserie Peak Beer	?-heden
Peak Beer Blond	NaN	6%	Brasserie Peak Beer	?-heden
Peak Beer Brune	NaN	8,5%	Brasserie Peak Beer	?-heden
Peak Grand Cru	hoge gisting	10,5%	Brasserie Peak Beer	?-heden
Peak Beer IPA	NaN	6,5%	Brasserie Peak Beer	?-heden
Peak Myrtille	NaN	4,5%	Brasserie Peak Beer	?-heden
Peak Summer	NaN	4%	Brasserie Peak Beer	?-heden
Peak Beer Triple	NaN	8,5%	Brasserie Peak Beer	?-heden
Peak Winter	NaN	9%	Brasserie Peak Beer	?-heden
Pêche Mel Bush	fruitbier	8,5%	Brouwerij Dubuisson	2009-heden
Pee Klak Grand Cru	etiketbier	8,4%	Brouwerij Strubbe voor Brouwerij Crombé	?-?
Père Abbé	tripel	7,3%	Brasserie Du Bocq	?-?
Père Noël	kerstbier	7%	Brouwerij De Ranke	1996-heden
Peter Benoit	etiketbier	5%	Brouwerij Het Sas	1955-heden
Petrus Aged Pale	aged pale	7,3%	Brouwerij Bavik	2001-heden
Petrus Aged Red	roodbruin	8,5%	Brouwerij Bavik	2013-heden
Petrus Blond	hoge gisting, blond	6,6%	Brouwerij Bavik	2006-heden
Petrus Dubbel Bruin	bruin	6,5%	Brouwerij Bavik	2006-heden
Petrus Gouden Tripel	tripel	7,5%	Brouwerij Bavik	2006-heden
Petrus Oud Bruin	oud bruin	5,5%	Brouwerij Bavik	?-heden
Petrus Speciale	speciaalbier	5,5%	Brouwerij Bavik	2006-heden
Petrus Winterbier	winterbier	6,5%	Brouwerij Bavik	2006-heden
Phaedra	amber	6%	Brouwerij Het Alternatief bij Brouwerij De Graal	2013
Pick-Up	pils	5%	Brouwerij Walrave	NaN
Piedbœuf Blonde	tafelbier	1,5%	Brouwerij Piedbœuf (InBev)	?-heden
Piedbœuf Brune	tafelbier	1,5%	Brouwerij Piedbœuf (InBev)	?-heden
Piedbœuf Excellence	tafelbier	2%	Brouwerij Piedbœuf (InBev)	?-?
Piedbœuf Foncée	tafelbier	1,5%	Brouwerij Piedbœuf (InBev)	?-?
Piedbœuf Triple	tafelbier	3,8%	Brouwerij Piedbœuf (InBev)	?-heden
Pierewietje	NaN	6%	Brouwerij De Regenboog	?-?
Piet-Agoras	hoge gisting	9%	Brouwerij Het Alternatief bij Brouwerij De Graal	?-?
Pikkeling	blond	6,2%	Brouwerij Slaghmuylder in opdracht van VVV De Faluintjesstreek	2011-heden
Pikkeling (40)	amber, hoge gisting	5,5%	Brouwerij Slaghmuylder in opdracht van VVV De Faluintjesstreek	2009-2011
Pikkeling Tripel	tripel	8%	Brouwerij Boelens in opdracht van VVV De Faluintjesstreek	?-2008
Pilaarbijter Blond	hoge gisting	7,2%	Brouwerij Bavik	2002-heden
Pilaarbijter Bruin	hoge gisting	6,5%	Brouwerij Bavik	2003-heden
Pils de Brabant	pils	4,9%	Groep John Martin	?-?
Pimpernelle	tripel, biologisch	8%	Brouwerij Jessenhofke	2010-heden
Pink Floyd	NaN	?%	Brouwerij Villers	?-?
Pint Job	blond speciaalbier	7,1%	Brouwerij Ergens in Gent	2020-heden
Pink Killer	hoge gisting, fruitig witbier	5%	Brasserie de Silly	?-?
Pipedream	IPA	7,8%	Brouwerij Alvinne	?-?
Piraat	hoge gisting	10,5%	Brouwerij Van Steenberge	?-heden
Pissenlit	saison	8%	Brasserie Fantôme	?-?
Pispotbier	NaN	?%	Brouwerij Villers	?-?
Platteau	blond	4,5%	Brouwerij Alvinne voor Brouwerij Het Alternatief	2014-?
Plezir Blond	pils	5,5%	Brouwerij Sint-Jozef in opdracht van Zirvest Cvba	2011-2014
Plezir Brown	hoge gisting	7,1%	Brouwerij Sint-Jozef in opdracht van Zirvest Cvba	2011-2014
Plezir D Lux Blond	blond aperitiefbier	6,7%	Brouwerij Sint-Jozef in opdracht van Zirvest Cvba	2011-2014
Plezir D Lux Rosé	rosébier	5,2%	Brouwerij Sint-Jozef in opdracht van Zirvest Cvba	2011-2014
Ploegsteert	NaN	5,4%	Brouwerij Verhaeghe Vichte	?-?
Plokkersbier	amber	7%	Brouwerij De Bie	?-?
PMPRNL	tripel, biologisch	8%	Brouwerij Jessenhofke	2010-heden
Podge Belgian Imperial Stout	stout	10,5%	Brouwerij Alvinne	?-?
Podge Oak Aged Stout	stout	11%	Brouwerij Alvinne	?-?
Polygonneke	roodbruin, etiketbier	6%	Brouwerij Van Eecke	1955-heden (e ?-?)
PoppoLou	blond	6%	Café Manuscript (gebrouwen in Brouwerij Anders! en later Huyghe)	2012-heden
Postel Blond	blond, abdijbier	7%	Affligem Brouwerij (vroeger eerst door Brouwerij Campina en dan Brouwerij De Smedt)	1953?-heden
Postel Christmas	roodbruin abdijbier	9%	Affligem Brouwerij (vroeger eerst door Brouwerij Campina en dan Brouwerij De Smedt)	?-heden
Postel Dubbel	bruin, abdijbier	7%	Affligem Brouwerij (vroeger eerst door Brouwerij Campina en dan Brouwerij De Smedt)	?-heden
Postel Tripel	blonde tripel, abdijbier	8,5%	Affligem Brouwerij (vroeger eerst door Brouwerij Campina en dan Brouwerij De Smedt)	?-heden
Potteloereke	bruin	8%	Huisbrouwerij Sint-Canarus	2007-heden
Poorter (bier)	abdijbier	6,5%	Brasserie du Bocq voor Brouwerij Sterkens	NaN
Poperings Hommelbier	hoge gisting	7,5%	Brouwerij Van Eecke	1981-heden
Poperings Nunnebier	hoge gisting	7,2%	Brouwerij Verhaeghe	2007-heden
Préaris Blond	hoge gisting	6%	De Proefbrouwerij voor Vliegende Paard Brouwers	2012-heden
Préaris Quadrupel	Belgian Strong Ale	10%	De Proefbrouwerij voor Vliegende Paard Brouwers	?-heden
Préaris IPA (No Hops No Glory)	IPA	6,7%	De Proefbrouwerij voor Vliegende Paard Brouwers	?-?
Prima Leroy	tafelbier	3,25%	Brouwerij Het Sas	?-?
Primus	pils	5,2%	Brouwerij Haacht	1975-heden
Prins van Horne	amber	7,9%	Brouwerij Boelens voor Vryheytscamme	?-?
Prinsesken	lichtrood, fruitbier	6,5%	Brouwerij Boelens	?-heden
Prosit pils	pils	?%	Brouwerij Bosteels	?-heden
Pumpkin Ale	NaN	?%	Brouwerij Villers	?-?
Puitenkop	IPA	5,6%	Brouwerij 't Paenhuys	?-?
Qantelaar	quadrupel	8%	Brouwerij Maenhout voor bierfirma Proefbrouwerij d'oude maalderij	2013-heden
Quadrigenti	blond	5,6%	't Hofbrouwerijke voor bierfirma Montaignu	NaN
Quest	blond	9%	Brouwerij De Graal	2009-heden
