beername	beer_style	alcohol_percentage	brewery	start_production	end_production	beer_rating
De Koninck Triple d'Anvers	Blond	8	Brouwerij De Koninck (Duvel-Moortgat)	2010	Present	3.642
De Koninck Tripel	Triple	8NaN	Brouwerij De Koninck	?	2010	3.642
De Koninck Winter	Ruby Red	6.5	Brouwerij De Koninck (Duvel-Moortgat)	2011	Present	3.383
De Maeght van Gottem	Dark Blonde	6.5	Huisbrouwerij Sint-Canarus	?	Present	3.46
De Nacht	Winter Beer	5.2	Brouwerij Vissenaken	2010	Present	3.916
De Poes Blond	Blond, Unfiltered, Top Fermentation	8	Brouwerij De Poes	?	?	3.584
De Regenboog IJzer	Nan	6	Brouwerij De Regenboog	?	?	No Rating Found
De Skieven Architek	Top Fermentation	10.5	Brouwerij Van Steenberge	?	?	No Rating Found
De Verboden Vrucht	Top Fermentation	8.5	Brouwerij De Kluis (InBev)	?	Present	3.495
De Vlier X-Mas	Christmas Beer	8.5	Brouwerij De Vlier	?	Present	3.311
Deinze Export	Export	4.6	Huisbrouwerij Sint Canarus voor JCI Deinze en Leiestreek	2007	?	2.945
Delhaize Christmas	Label Beer	9	Affligem Brouwerij	?	?	No Rating Found
Delhaize Tafelbier Blond	Table Beer	1.5	Brouwerij Piedbœuf (InBev)	?	Present	No Rating Found
Delhaize Tafelbier Bruin	Table Beer	1.5	Brouwerij Piedbœuf (InBev)	?	Present	No Rating Found
Deliria	Dark, Top Fermentation	8.5	Brouwerij Huyghe	2013	Present	3.623
Delirium Nocturnum	Blond, Top Fermentation	9	Brouwerij Huyghe	?	?	3.768
Delirium Tremens	Triple	9	Brouwerij Huyghe	1989	Present	3.854
Delirium Christmas	Christmas Beer	10	Brouwerij Huyghe	?	Present	3.763
Delirium Red	Fruit Beer	8.5	Brouwerij Huyghe	?	Present	3.582
Delta	Blond	6	Brouwerij Anders! voor Brussels Beer Project	?	?	3.749
Den Alternatief	Lower	5	Brouwerij Het Alternatief bij Brouwerij Alvinne	?	?	2.971
Den Bi3r	Triple	9	Brouwerij Den Tseut	2009	Present	3.401
Den Bras	Brown	7.5	Brouwerij Den Tseut	2008	2012	3.462
Den Drupneuze	Winter Beer	8.5	Brouwerij Den Tseut	2008	Present	3.358
Den Herberg Amber	Amber	5	Brouwerij Den Herberg	2008	Present	3.263
Den Herberg Blond	Blond	5.5	Brouwerij Den Herberg	2008	Present	3.247
Den Herberg Bruin	Brown	5.5	Brouwerij Den Herberg	2008	Present	3.368
Den Herberg Tarwe	Wheat Beer	5	Brouwerij Den Herberg	2008	Present	3.307
Den Mulder	Blond	8	Brouwerij Den Tseut	?	?	3.321
Den Tseut	Blond, Specialty Beer	6.5	Brouwerij Den Tseut	2008	Present	3.306
Den Twaalf	Top Fermentation	12	Brouwerij 't Gaverhopke	?	?	3.741
Den Zytholoog	Blond	6.6	Brouwerij De Graal voor bierfirma Vacas	?	?	2.846
Dendermonde Tripel	Abbey Beer, Tripel	8	Brouwerij De Block	1997	Present	3.438
Dentergems Wit	Wheat Beer	5	Brouwerij Het Anker (voorheen Brouwerij Riva, Brouwerij Liefmans)	1985	Present	3.058
Deugniet	Tripel (Label Beer)	7.3	Brasserie Du Bocq	1987	Present	3.536
DeuS	Specialty Beer, Blond	11.5	Brouwerij Bosteels	2002	Present	3.885
Diabolici	Triple	8	Groep John Martin	2011	Present	3.544
Dief! Copper	Dark, Top Fermentation	9.4	Brouwerij Engilsen	?	?	3.381
Dief! Gold	Blond, Top Fermentation	8	Brouwerij Engilsen	2012	?	3.408
Dief! Silver	Blond, Top Fermentation	6.5	Brouwerij Engilsen	?	?	3.283
Dikke Jan blond	Top Fermentation	5.5	Brouwerij Dikke Jan	?	Present	3.301
Dikke Jan bruin	Top Fermentation	8.5	Brouwerij Dikke Jan	?	Present	3.28
Dikke Jan kriekbier	Top Fermentation	6	Brouwerij Dikke Jan	?	Present	2.859
Dikke Jan quadruple	Top Fermentation	10.5	Brouwerij Dikke Jan	?	Present	3.67
Dikke Jan tripel	Top Fermentation	7	Brouwerij Dikke Jan	?	Present	3.42
Dikkenek	Fruit Beer	6.7	Brasserie Lefebvre	?	Present	3.29
Dikkenek	Nan	6.1	Brouwerij De Smedt voor Brouwerij Dikkenek	1992	?	3.29
Dikke Mathile	Top Fermentation	6	Brouwerij Strubbe	1986	Present	3.023
Diôle	Belgian Ale	6.5	Brasserie des Carrières	?	?	3.371
Dobbel Palm	Top Fermentation	6	Brouwerij Palm	1947	Present	3.243
Dobbelen	Top Fermentation	8	Brouwerij Roman	?	?	3.674
Dobbelken Amber	Regional Beer, Amber	6.5	Brouwerij Strubbe	2010	Present	3.084
Dobbelken Bruin	Regional Beer, Brown	5	Brouwerij Strubbe	1985	Present	2.879
Dogabier	Label Beer	6.5	Huisbrouwerij Sint-Canarus	?	?	3.77
Domesticus Tripel	Regional Beer, Tripel	8	Brouwerij De Leite door Domesticus	2016	Present	3.159
Doiminicains Dubbel	Top Fermentation, Blond	6.9	Brasserie 3F	2014	Present	3.479
Doiminicains Quadrupel	Top Fermentation, Blond Quadrupel	9.2	Brasserie 3F	2014	Present	3.609
Doiminicains Tripel	Top Fermentation, Blond Tripel	8.2	Brasserie 3F	2014	Present	3.588
Dominus Dubbel	Abbey Beer	6.5	Group John Martin	?	?	3.446
Dominus Tripel	Abbey Beer, Tripel	8	Group John Martin	?	?	No Rating Found
Donkere Stoere	Very Dark	8.2	Brouwerij DijkWaert	2010	Present	No Rating Found
Dort Urtyp	Nan	6.2	Brasserie De Silly	?	?	No Rating Found
Double Bie	Brown	6.5	Brouwerij De Bie	?	?	3.083
Double de Brabant	Double, Dark	6.5	Groep John Martin	?	?	3.653
Double Enghien Blonde	Top Fermentation, Blond	7.5	Brasserie de Silly	?	?	3.304
Double Enghien Brune	Top Fermentation, Amber	8	Brasserie de Silly	?	?	3.291
Douglas Celtic Brown	Dark Scotch	7.9	Scottish & Newcastle voor Groep John Martin	?	?	3.493
Douglas Celtic Lager	Blonde Bearing	5	Scottish & Newcastle voor Groep John Martin	?	?	2.972
Douglas Celtic Red	Amber Red, Top Fermentation	7.9	Scottish & Newcastle voor Groep John Martin	?	?	3.38
Douglas Celtic Super	Blond, Top Fermentation	7.9	Scottish & Newcastle voor Groep John Martin	?	?	3.119
Douglas Celtic XXX Strong	Blond, Top Fermentation	12	Scottish & Newcastle voor Groep John Martin	?	?	No Rating Found
Drongens Plezierke	Top Fermentation, Dark	7.5	Brouwerij Slaghmuylder	1985	Present	2.633
Draeckenier	Golden Blonde	7.5	De Proefbrouwerij voor Brouwerij Troch	?	?	3.53
Druïde Blond	Light Blonde	6.5	De Proefbrouwerij voor Brouwerij Druïde	2005	Present	3.305
Druïde Bruin	Ruby Red	6.5	De Proefbrouwerij voor Brouwerij Druïde	2006	Present	3.232
Druïde Grand Q	Triple, Blond	8.5	De Proefbrouwerij voor Brouwerij Druïde	?	Present	3.309
Druivenbier	Fruit Beer	6	Brouwerij Van Steenberge voor Brouwerij Paeleman	?	?	3.025
Dubbel Buitenlust	Blond	8.5	De Proefbrouwerij	1997	Present	3.288
Dubbel Klok	Dark	8.5	Brouwerij Boelens	1995	Present	3.347
Ducassis	Fruit Beer	3	Brasserie des Légendes	2003	Present	3.11
Duchesse de Bourgogne	Old Brown	6.2	Brouwerij Verhaeghe Vichte	?	Present	3.664
Duivels Bier	Dark	8	Brouwerij Vander Linden)	1883	Present	3.48
Dulle Griet	Double	6.5	De Scheldebrouwerij	?	Present	3.298
Dulle Teve	Triple	10	De Dolle Brouwers	?	Present	3.749
Duvel	Top Fermentation	8.5	Brouwerij Duvel Moortgat	1970	Present	3.723
Duvel Groen	"Top Fermentation ""Pils"""	7	Brouwerij Duvel Moortgat	1968	2021	3.477
Duvel Tripel Hop	Top Fermentation	9.5	Brouwerij Duvel Moortgat	2012	Present	3.687
Duvel Tripel Hop Cashmere	Top Fermentation	9.5	Brouwerij Duvel Moortgat	2019	Present	3.612
Echt Kriekenbier	Fruit Beer	6.8	Brouwerij Verhaeghe	?	Present	3.63
Echte Kriek	Fruit Beer	6.8	Brouwerij Verhaeghe	?	Present	3.63
Edel-Brau	Low Alcohol	0.3	Brouwerij Strubbe	1988	Present	2.102
Eerwaarde Pater	Waest Flemish Red Brown	9	Brouwerij Het Alternatief bij Brouwerij De Graal of Brouwerij Alvinne	?	?	3.282
Egotripel	Triple Blonde	6.5	Brouwerij Groenendael	2013	Present	3.487
Egotripel Dark	Dark	7.1	Brouwerij Groenendael	2015	Present	3.418
Eeuwige Liefde	Very Dark	8.2	Brouwerij DijkWaert	2010	Present	2.982
Egmont	Blond	6.5	Brouwerij Strubbe voor Brouwerij Crombé	1987	Present	3.435
Elfique Ambree	Amber Slightly Bitter	7	André & Valérie Grolet	?	?	3.42
Elfique Rose	Fresh Spicy	6.5	André & Valérie Grolet	?	?	No Rating Found
Elfique Triple Blanche	White	5.5	André & Valérie Grolet	?	?	No Rating Found
Elfique Blonde	Blond Bitter	6	André & Valérie Grolet	?	?	3.465
Elfique Triple Blonde	Blonde Triple	8	André & Valérie Grolet	?	?	3.465
Elfique Triple Brun	Brown, Triple, Various Malt Types	8	André & Valérie Grolet	?	?	3.442
Elliot Brew	Imperial Ipa	9	De Struise Brouwers bij Brouwerij Deca	?	?	3.74
El Toro	Top Fermentation, Ipa	6.5	Brouwerij Contreras	2008	?	3.389
Embrasse	Top Fermentation, Strong Dark	9	Brouwerij De Dochter van de Korenaar	2008	Present	3.694
Embrasse Embrasse Oak Aged	Top Fermentation	9	Brouwerij De Dochter van de Korenaar	?	Present	3.811
Embrasse Special Edition	Top Fermentation, Oak Aged	9	Brouwerij De Dochter van de Korenaar	?	Present	3.846
Ename Blond	Abbey Beer, Top Fermentation	6.5	Brouwerij Roman	1997	Present	3.453
Ename Cuvée 974	Top Fermentation	7	Brouwerij Roman	2002	Present	3.343
Ename Cuvée Rouge	Top Fermentation	7	Brouwerij Roman	2002	Present	3.343
Ename Dubbel	Abbey Beer, Top Fermentation	6.5	Brouwerij Roman	1990	Present	3.347
Ename Pater	Abbey Beer, Top Fermentation	NaN	Brouwerij Roman	2015	Present	3.455
Ename Tripel	Abbey Beer, Tripel	8.5	Brouwerij Roman	1990	Present	3.554
Engeltjesbier	Nan	NaN	Brouwerij Steedje	?	?	No Rating Found
Enfant Terriple	Blonde, Triple	8.2	Brouwerij De Leite	2010	Present	3.432
Enghien Noël	Top Fermentation, Tripel, Christmas Beer	9	Brasserie de Silly	?	?	3.46
Estaminet Premium Pils	Pilsner	5.2	Brouwerij Palm	?	Present	3.085
Equinox	Brown	8	Brasserie de la Senne	?	Present	3.854
Eupener Bier	Pilsner	5.2	Eupener Bierbrauerei, later Brouwerij Haacht	?	Present	3.079
Eupener Caramel	Nan	NaN	Eupener Bierbrauerei	?	?	3.1
Eupener Export	Nan	4	Eupener Bierbrauerei	?	1998	3.732
Excellence du Val-Dieu	Nan	NaN	Brouwerij Val-Dieu	?	?	4.099
Export 8	Pilsner	4.7	Brouwerij Haacht	1925	Present	2.963
Export Spitz	Nan	NaN	Brasserie Devaux	?	?	No Rating Found
Extase	Imperial/Double Ipa	8.5	Brouwerij De Dochter van de Korenaar	?	Present	3.686
Extra blond	Pilsner	5	Brouwerij Duvel Moortgat	1930	1976	3.271
Extra light	Nan	2.5	Eupener Bierbrauerei	?	1998	3.207
Extra Pilsener	Pilsner	5	Brouwerij Duvel Moortgat	1976	1991	2.95
Ezel Bruin	Brown	6.5	Brouwerij Bavik	?	Present	3.013
Ezel Wit	Wheat Beer	5.8	Brouwerij Bavik	?	Present	3.508
Fancy	Low Alcohol	0.5	Brouwerij Bavik	?	Present	4.095
Fantôme	Top Fermentation	8	Brasserie Fantôme	?	Present	3.767
Fantôme Chocolat	Top Fermentation	8	Brasserie Fantôme	?	Present	3.458
Fantôme Spéciale Noel	Top Fermentation	8	Brasserie Fantôme	?	Present	No Rating Found
Faro Boon	Faro	4	Brouwerij Boon	?	Present	3.139
Faro Girardin	Faro	5	Brouwerij Girardin	?	Present	3.188
Faro Lambic Lindemans	Faro	4.5	Brouwerij Lindemans	1978	Present	3.472
Faro Perte Totale	Faro	5	Brouwerij Boon	?	Present	No Rating Found
Fasso Blond	Blond	6.5	Brouwerij Vissenaken	?	?	3.753
Felix Kriek Oud Bruin	Kriek	6	Brouwerij Verhaeghe voor Brouwerij Clarysse (bierfirma)	?	?	No Rating Found
Felix Kriekbier	Kriek	5.2	Brouwerij Verhaeghe voor Brouwerij Clarysse (bierfirma)	?	?	3.398
Felix Oud Bruin	Brown	5.2	Brouwerij Verhaeghe voor Brouwerij Clarysse (bierfirma)	?	Present	3.159
Felix Speciaal Oudenaards	Reddish Brown	4.6	Brouwerij Verhaeghe voor Brouwerij Clarysse (bierfirma)	?	?	3.159
Femme Fatale	Top Fermentation, Amber	6.5	Brouwerij De Leite	2008	Present	3.727
Ferme Framboos	Fruit Beer	8	Brouwerij De Vlier	?	Present	4.264
Ferre	Quadruple	10	Brouwerij Maenhout bij Brouwerij Gulden Spoor	2013	Present	3.515
Festina Lente	Dark Brown	7	Brouwerij Alvinne	?	?	4.098
Février Blonde	Blond	NaN	Brasserie Devaux	?	?	3.738
Février Brune	Brown	NaN	Brasserie Devaux	?	?	3.322
Finesse	Top Fermentation, Triple	8.5	Brouwerij De Dochter van de Korenaar	?	?	3.566
Flandrien	Top Fermentation	7	Brouwerij Louwaege	?	?	3.58
Flodder	Top Fermentation	8	De Proefbrouwerij voor bierfirma VALOCCO	?	?	3.34
Flora	Nan	7	Brasserie La Binchoise	?	?	4.455
Flora Lager 3.5	Pilsner	3.5	De Wilde Brouwers	2018	Present	2.963
Floreffe Blond	Abbey Beer	6.3	Brouwerij Lefebvre	1983	Present	3.279
Floreffe Dubbel	Abbey Beer	6.3	Brouwerij Lefebvre	1983	Present	3.231
Floreffe Prima Melior	Abbey Beer	8	Brouwerij Lefebvre	?	Present	3.425
Floreffe Tripel	Abbey Beer	7.5	Brouwerij Lefebvre	1983	Present	3.459
Floreffe Wit-Bier	Wheat Beer, Abbey Beer	4.5	Brouwerij Lefebvre	?	Present	No Rating Found
Florilège de Pensée	Fruit And Flower Beer	9	Brasserie d'Ecaussinnes	?	Present	2.523
Florilège de Rose	Fruit And Flower Beer	9	Brasserie d'Ecaussinnes	?	Present	2.361
Florilège de Sureau	Fruit And Flower Beer	9	Brasserie d'Ecaussinnes	?	?	No Rating Found
Florilège d’Hibiscus	Fruit And Flower Beer	9	Brasserie d'Ecaussinnes	?	Present	3.255
Floris Cactus	Wheat Beer	4.2	Brouwerij Huyghe	?	Present	3.136
Floris Chocolat	Brown	4.2	Brouwerij Huyghe	?	Present	2.781
Floris Fraise	Fruit Beer	3.6	Brouwerij Huyghe	1995	Present	3.243
Floris Framboise	Fruit Beer	3.7	Brouwerij Huyghe	1995	Present	3.542
Florisgaarden witbier	Wheat Beer	NaN	Brouwerij Huyghe	?	?	3.315
Floris Griotte	Fruit Beer	3	Brouwerij Huyghe	1995	Present	3.982
Floris Honey	Honey Beer	4.5	Brouwerij Huyghe	?	Present	2.924
Floris Kriek	Fruit Beer	3.6	Brouwerij Huyghe	1995	Present	3.518
Floris Mango	Fruit Beer	3.6	Brouwerij Huyghe	1995	Present	3.348
Floris Ninkeberry	Fruit Beer	3.6	Brouwerij Huyghe	?	Present	3.3
Floris Passion	Fruit Beer	3.6	Brouwerij Huyghe	1995	Present	3.427
Floris Pear	Fruit Beer	3.5	Brouwerij Huyghe	?	Present	3.192
Floris Pomme / Apple	Fruit Beer	3.5	Brouwerij Huyghe	1995	Present	3.3
Floris Witbier	Wheat Beer	5	Brouwerij Huyghe	1995	Present	3.315
Florival Blond	Abbey Beer	7	Affligem Brouwerij (Brouwerij De Smedt)	?	Present	3.176
Florival Bruin	Dark Brown	7	Affligem Brouwerij	1956	Present	3.101
Florival Tripel	Triple	8.5	Affligem Brouwerij	1957	Present	3.27
Florival Winter	Reddish Brown	9	Affligem Brouwerij	?	Present	3.2
Flurk Tripel	Blond	8	Flurkbrouwers	2012	Present	No Rating Found
Foewerbier	Amber	7	Brouwerij Kerkom	?	?	3.229
Forestinne Ambrosia	Amber	7.5	Brasserie Caracole	?	?	3.309
Forestinne Gothika	Scotch	7.5	Brasserie Caracole	?	?	3.18
Forestinne Mysteria	Blonde Specialty Beer	7.5	Brasserie Caracole	?	?	3.355
Forestinne Nordika	Christmas Beer	7.5	Brasserie Caracole	?	?	3.128
Forestinne Primoria	Blond	7.5	Brasserie Caracole	?	?	3.195
Fort Lapin 8	Triple	8	Brouwerij Fort Lapin	2011	Present	3.493
Fortun	Blond	7.5	't Hofbrouwerijke in opdracht van Kempens Landschap voor het Fort van Duffel	?	?	3.338
Fortha Blonde	Blond	nan	Brouwerij Verkest	1930	1952	3.82
Fortha Bruin	Brown	nan	Brouwerij Verkest	1930	1952	3.928
Fortha Speciaal	Nan	nan	Brouwerij Verkest	?	1952	3.837
Four Aces Barley Wine	Amber	9	Brouwerij Het Nest	2017	Present	3.505
Four Aces Black IPA	Ipa	7	Brouwerij Het Nest	2017	Present	3.521
Four Aces Session IPA	Blonde, Ipa	3.5	Brouwerij Het Nest	2017	Present	2.908
Four Aces White IPA	Ipa	5.3	Brouwerij Het Nest	2017	Present	3.377
Framboise Boon	Lambic, Fruit Beer	6	Brouwerij Boon	1970	Present	3.544
Framboise Girardin	Lambic, Fruit Beer	5	Brouwerij Girardin	?	Present	3.599
Framboise Lindemans	Lambic, Fruit Beer	2.5	Brouwerij Lindemans	1980	Present	3.769
Framboise Max Jacobins	Lambic, Fruit Beer	3	Brouwerij Bockor	?	Present	No Rating Found
Framboise Oud Beersel	Lambic, Fruit Beer	5	Brouwerij Oud Beersel	?	Present	3.561
Frasnoise Givrée	Amber	6.3	Brasserie La Frasnoise	?	?	3.242
Frasnoise Rétro	Amber	6.3	Brasserie La Frasnoise	?	?	3.047
Freaky	Brown Ale	3.8	Brouwerij Alvinne	?	?	3.808
Freaky Dark	Lambic	3.8	Brouwerij Alvinne	?	?	4.098
Freedom Pils	Pilsner	5.2	Alken-Maes (Heineken)	2001	Present	3.178
Fruitig Bierreke	Fruit Beer	8.2	Brouwerij DijkWaert	2011	2012	2.847
Fruitig Bierreke	Fruit Beer	6	Brouwerij DijkWaert	2012	Present	2.847
Fumée d'Anvers	Nan	NaN	Brouwerij Villers	?	?	No Rating Found
Gageleer Original	Organic Beer	7.5	De Proefbrouwerij voor Natuurpunt	1988	Present	3.41
Gageleer Superior Dark	Organic Beer	8.5	De Proefbrouwerij voor Natuurpunt	1988	Present	3.345
Gageleer Sour White No Hops	Organic Beer	4.3	De Proefbrouwerij voor Natuurpunt	1988	Present	3.03
Gamma	Brown	6	Brouwerij Anders! voor Brussels Beer Project	?	?	3.647
Gandavum Dry Hopping	Blond	7.5	De Proefbrouwerij voor Het Waterhuis aan de bierkant	2005	Present	3.647
Gaspar	Amber	8	Brouwerij Alvinne	?	Present	3.397
Gauloise Ambrée	Amber	5.5	Brasserie Du Bocq	1858	Present	3.247
Gauloise Blonde	Blond	6.3	Brasserie Du Bocq	1858	Present	3.396
Gauloise Brune	Brown	8.1	Brasserie Du Bocq	1858	Present	3.499
Gauloise Red	Fruit Beer	8.2	Brasserie Du Bocq	?	Present	3.241
Gauloise Triple Blonde 10	Triple	9.7	Brasserie Du Bocq	2012	Present	3.679
Gauloise Christmas	Christmas Beer	8.1	Brasserie Du Bocq	?	Present	3.486
Gentse Strop	Blond	6.9	Brouwerij Roman	2011	Present	3.462
Gentse Tripel	Blond	8	Brouwerij Van Steenberge	?	Present	3.553
Gertrude Ambrée	Amber, Top Fermentation	6	Brasserie de Bouillon	2007	Present	3.347
Gertrude Triple	Triple	7.5	De Proefbrouwerij	2009	Present	3.407
Geuze Cantillon 100% Lambic Bio	Geuze	5	Brouwerij Cantillon	?	Present	4.184
Gueuze Girardin	Geuze	5	Brouwerij Girardin	?	?	3.488
Gueuze Girardin gefilterd	Geuze	5	Brouwerij Girardin	?	?	No Rating Found
Geuze Jacobins	Geuze	5.5	Brouwerij Bockor	?	Present	3.412
Geuze Lindemans	Geuze	5.5	Brouwerij Lindemans	?	Present	3.735
Geuze Mariage Parfait	Geuze	8	Brouwerij Boon	?	?	3.8
Ghulden Cop	Dark Blonde	6	Brouwerij De Graal	2011	Present	3.209
Gigi speciale	Table Beer	2.5	Brasserie Gigi	?	?	No Rating Found
Gildenbier	Top Fermentation, Brown	7	Brouwerij Haacht	?	?	3.319
Ginder Ale	Top Fermentation, Amber	5.1	InBev	1928	Present	2.806
Gluh kriek	Mulled Beer	NaN	Brouwerij Liefmans	?	?	3.442
Glutaner	Gluten-Free Pilsner	5.2	Brouwerij Huyghe	?	?	2.018
Godefroy (bier)	Nan	NaN	Brouwerij Duvel Moortgat	?	?	No Rating Found
Goedendag	Cuv�e	7.5	Brouwerij Toye	2018	Present	3.491
Goedendag	Dark	7.5	Brouwerij Toye	2015	Present	3.491
Goedendag	Golden Blonde	8	Brouwerij Toye	2012	Present	3.491
Goeie Koffe	Stout	9.5	Brouwerij DijkWaert	2011	Present	2.999
Goliath Blonde	Top Fermentation, Blond	5.5	Brasserie des Légendes	?	?	3.524
Goliath Triple	Top Fermentation, Triple	9	Brasserie des Légendes	?	?	3.524
Golden Kenia	Pilsner	5.1	Brouwerij Huyghe	1945	Present	2.693
Golding Campina	Pilsner	4.8	Alken-Maes (Heineken)	1930	Present	3.144
Gold Pils	Pilsner	5	Brouwerij Bavik	?	Present	3.387
Gordon 0,00	Alcohol-Free	0	Group John Martin	?	?	1.777
Gordon Finest Chrome	Top Fermentation	10.5	Group John Martin	?	?	2.783
Gordon Finest Copper	Top Fermentation	6.6	Group John Martin	?	?	2.916
Gordon Finest Gold	Top Fermentation	10	Group John Martin	1992	Present	3.09
Gordon Finest Platinum	Top Fermentation	12	Group John Martin	?	?	2.704
Gordon Finest Red	Top Fermentation, Red	8.4	Group John Martin	2001	Present	3.067
Gordon Finest Scotch	Scotch	8.6	Group John Martin	?	Present	3.39
Gordon Finest Silver	Top Fermentation	7.7	Group John Martin	2001	Present	2.891
Gordon Finest Zero	Alcohol-Free	0	Group John Martin	?	?	No Rating Found
Gordon Five	Pilsner	5	Group John Martin	?	?	3.179
Gordon Xmas	Christmas Beer	8.8	Brouwerij Palm voor Group John Martin	?	Present	3.407
Goud Vuur	Amber, Triple	9	Brouwerij DijkWaert	2010	2013	2.753
Gouden Arend 125	Golden Blonde	8.5	Brouwerij De Ryck	2011	2011	3.79
Gouden Carolus Ambrio	Amber	8	Brouwerij Het Anker	1980	Present	3.55
Gouden Carolus Christmas	Dark Specialty Beer	10.5	Brouwerij Het Anker	2002	Present	3.612
Gouden Carolus Classic	Dark Specialty Beer	8.5	Brouwerij Het Anker	?	Present	3.736
Gouden Carolus Cuvée van de Keizer Imperial Blond	Blonde Specialty Beer	10	Brouwerij Het Anker	2008	Present	3.923
Gouden Carolus Cuvée van de Keizer Imperial Dark	Ruby Red Specialty Beer	11	Brouwerij Het Anker	1999	Present	4.055
Gouden Carolus Cuvée van de Keizer Whisky Infused	Blonde Specialty Beer	11.7	Brouwerij Het Anker	2015	Present	4.003
Gouden Carolus Easter	Dark Specialty Beer	10	Brouwerij Het Anker	?	Present	3.75
Gouden Carolus Hopsinjoor	Blonde Specialty Beer	8	Brouwerij Het Anker	2008	Present	3.593
Gouden Carolus Tripel	Triple	9	Brouwerij Het Anker	?	Present	3.821
Gouden Carolus UL.T.R.A.	Blond	3.7	Brouwerij Het Anker	2018	Present	2.967
Gouden Pier Kloeffe	Top Fermentation, Triple	8.1	De Proefbrouwerij voor Brouwerij Slaapmutske	?	?	3.482
Goudster	Nan	6.0	Brouwerij Anders! voor Verenigde Brouwers	?	?	3.239
Gouyasse Tradition	Top Fermentation, Blond	6	Brasserie des Géants	?	?	3.25
Gouyasse Triple	Triple	9	Brasserie des Géants	?	?	3.583
Grand Cru Bruocsella	Lambic	5	Brasserie Cantillon	?	?	3.958
Green Buzz	Biological	6	Brasserie Millevertus	?	?	3.704
Grelotte	Christmas Beer	9	Brasserie Grain d'Orge	?	?	3.25
Gribousine Blonde	Top Fermentation	8.5	Brasserie La Binchoise (voor Brasserie de Malonne)	?	?	3.299
Gribousine Brune	Top Fermentation	8	Brasserie La Binchoise (voor Brasserie de Malonne)	?	?	3.363
Gribousine Hiver	Winter Beer	8.5	Brasserie La Binchoise (voor Brasserie de Malonne)	?	?	3.074
Griboval	Top Fermentation	6.5	Brouwerij Van Den Bossche voor Scouts Moen 50 jaar (2011)	?	?	No Rating Found
Grimbergen Blond	Abbey Beer Top Fermentation	6.7	Alken-Maes (Heineken - Carlsberg)	1993	Present	3.501
Grimbergen Cuvée de l'Ermitage	Top Fermentation	7.5	Alken-Maes (Heineken - Carlsberg)	?	Present	3.631
Grimbergen Dubbel	Top Fermentation	6.5	Alken-Maes (Heineken - Carlsberg)	1958	Present	3.585
Grimbergen Goud 8°	Top Fermentation, Blond	8	Alken-Maes (Heineken - Carlsberg)	2008	Present	3.575
Grimbergen Optimo Bruno	Top Fermentation	10	Alken-Maes (Heineken - Carlsberg)	1988	Present	3.585
Grimbergen Selection	Dark, Double	7	Alken-Maes (Heineken - Carlsberg)	?	Present	3.637
Grimbergen Tripel	Triple	9	Alken-Maes (Heineken - Carlsberg)	1962	Present	3.635
Grimbergen Winter	Winter Beer	6.5	Alken-Maes (Heineken - Carlsberg)	2012	Present	3.442
Grisette Ambrée	Amber	5	Brouwerij St-Feuillien	?	?	3.327
Grisette Blanche	Wheat Beer	5	Brouwerij St-Feuillien	?	?	3.352
Grisette Blonde	Blond	4.5	Brouwerij St-Feuillien	?	?	3.057
Grisette Cérise	Fruit Beer	3.5	Brouwerij St-Feuillien	?	?	2.886
Grisette Country Cool	Nan	3.5	Brouwerij St-Feuillien	?	?	2.715
Grisette Fruits des Bois	Fruit Beer	3.5	Brouwerij St-Feuillien	?	?	2.998
Groenen tuinbier	Nan	8.5	Brouwerij Van Steenberghe	?	?	No Rating Found
Grotten Flemish Ale	Top Fermentation, Belgian Strong Ale	7.7	Brouwerij St-Bernardus	?	Present	No Rating Found
Grottenbier	Top Fermentation	6.5	Brouwerij St-Bernardus	?	Present	3.447
Gruut Amber	Amber	6.6	Stadsbrouwerij Gruut	2009	Present	3.335
Gruut Blond	Blond	5.5	Stadsbrouwerij Gruut	2009	Present	3.328
Gruut Bruin	Brown	8	Stadsbrouwerij Gruut	2009	Present	3.386
Gruut Inferno	Gold	9	Stadsbrouwerij Gruut	?	Present	3.521
Gruut Wit	Wheat Beer	5	Stadsbrouwerij Gruut	?	Present	3.286
Guido	Top Fermentation	8	Brouwerij De Regenboog	?	?	3.445
Gulden Delle	Mixed Beer	8.5	Brouwerij De Vlier	2010	Present	No Rating Found
Gulden Draak	Top Fermentation, Dark	10.5	Brouwerij Van Steenberge	?	Present	3.773
Gulden Draak Vintage	Top Fermentation, Christmas	7.5	Brouwerij Van Steenberge	?	Present	3.887
Gulden Draak 9000 Quadruple	Top Fermentation, Dark	10.5	Brouwerij Van Steenberge	2011	Present	3.825
Guldenberg	Dark Blond Abbey Beer	8.5	Brouwerij De Ranke	1994	Present	3.615
Gypsy Rose	Amber	9	Brasserie Sainte-Hélène	2005	Present	3.35
Haanse Witte	Wheat Beer	5.5	Brouwerij Strubbe voor den Haene	2006	Present	3.049
Halleschelle	Blond	8.5	Brouwerij Alvinne	2004	2016	3.197
Halleschelle	Blond	8.2	Brouwerij De Leite	2017	Present	3.197
Hamse Witten	Nan	NaN	Brouwerij Villers	?	?	No Rating Found
BHalloween Pumpkin Ale	Nan	NaN	Brouwerij Villers	?	?	3.4
